text,sentiment,Platform,target_map
What a great day!!! Looks like dream.,positive,twitter,1
"I feel sorry, I miss you here in the sea beach",positive,facebook,1
Don't angry me,negative,facebook,0
We attend in the class just for listening teachers reading on slide. Just Nonsence  ,negative,facebook,0
"Those who want to go, let them go",negative,instagram,0
"Its night 2 am, feeling neutral",neutral,facebook,2
2 am feedings for the baby are fun when he is all smiles and coos,positive,facebook,1
Soooo high,neutral,instagram,2
 Both of you,neutral,twitter,2
Today first time I arrive in the boat. Its amazing journey,positive,facebook,1
Love is something like E=MC^2 rules,neutral,instagram,2
I really really like the song Cardigan by Taylor Swift,positive,twitter,1
My Sharpie is running DANGERously low on ink,negative,facebook,0
i want to go to music tonight but i lost my voice.,negative,instagram,0
Always somewhere I miss you where I have been,neutral,twitter,2
Don't distrube me,negative,facebook,0
"I don't care, who are you and what can you do",negative,instagram,0
i`ve been sick for the past few days ,neutral,twitter,2
"I'm come back home, my past job, its really good time for me",positive,facebook,1
I will never fall in love until I found you,positive,instagram,1
" oh Maya, I`m so sorry!!  I hope you find her soon!! ",neutral,twitter,2
"Playing with kids, its amazing",positive,facebook,1
is cleaning the house for her family who is comming later today..,neutral,instagram,2
I tried to shtdown my pc and accenditenly I click in the restart button. Its really disgusting,negative,twitter,0
"Follow me, I will follow you too",neutral,facebook,2
"Its amazing game, I playing everyday",positive,instagram,1
  I`m sorry.,negative,facebook,0
"I'm in the village now and there hardly found internate, feeling gloomy",negative,instagram,0
juss came back from Barisal,neutral,twitter,2
Went to sleep and there is a power cut in the village. ,neutral,facebook,2
How looks like our company new logo?,positive,instagram,1
"I buy Sophie's world book, I'm really so happy",positive,twitter,1
 If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,negative,facebook,0
 That`s very funny.  Cute kids.,positive,instagram,1
" Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army.",neutral,twitter,2
My semester final exam is complete. Hurray!!!,positive,facebook,1
Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY,negative,instagram,0
"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned",neutral,twitter,2
i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,negative,facebook,0
 romance zero is funny,positive,facebook,1
" Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting",neutral,twitter,2
Yor are so unromantic,negative,facebook,0
MAYDAY?!,neutral,instagram,2
 I`d rather do the early run..but I am a morning runner,neutral,twitter,2
 I love to! But I`m only available from 5pm.  and where dear?,positive,facebook,1
The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,neutral,instagram,2
 i talk to you,neutral,facebook,2
"im soo bored, I don't like this music video",negative,twitter,0
this concert is amazing,positive,instagram,1
"Had nicotine replacement patch on for 4 hours. So far, so good, but I did sleep for most of those 4 hours. Getting a bit twitchy now",neutral,facebook,2
"Its raining, I need an umbrella ",neutral,twitter,2
should be sleeping.  lost my voice a couple day ago.,negative,instagram,0
"I'm depressed, I'm thinking about suicide, what I need to do now?",negative,facebook,0
 I`ve heard this fall. I`m waiting too!,neutral,twitter,2
I saw an amazing nightmare yesterday night,neutral,instagram,2
I AM SUCH A CREEPER  I feel disappointed because of it.,negative,facebook,0
"I have bad headech, what I need to do now",negative,twitter,0
happy mother`s day to all moms out there. Mothers are our real hero,positive,instagram,1
Grabbing coffee from  then making mom breakfast,neutral,facebook,2
im thinking that im going to have fun tonight,positive,twitter,1
Yesterday was most valuable day for me,positive,instagram,1
" Haha I know, I cant handle the fame!  and thank you!",positive,facebook,1
"One suggestion for me is, be up to date",neutral,twitter,2
"Always love everyone, love all animals. Most important love your parents",positive,instagram,1
I'm playing minecraft video game. I'm addicated to it.,positive,facebook,1
